State,Program,Service Category,Notes,Total Computable,Federal Share,Federal Share Medicaid,Federal Share ARRA,Federal Share BIPP,State Share,Year,Location
North Carolina,Medical Assistance Program,Intermediate Care Facility - Public,,501063,366582,324717,41865,0,134481,2016,"North Carolina
(35.47995, -79.180571)"
Maryland,Administration,Family Planning,,0,0,,,,0,2016,"Maryland
(39.290443, -76.612333)"
Kansas,Medical Assistance Program,"T-Prosthetic Devices, Dentures, Eyeglasses",,0,0,0,0,0,0,2016,"Kansas
(38.345528, -98.201847)"
Minnesota,Medical Assistance Program,T-Physician & Surgical Services - Sup. Payments,,0,0,0,0,0,0,2016,"Minnesota
(46.357661, -94.793397)"
Virginia,Administration,CVT Development CHIPRA,,0,0,,,,0,2016,"Virginia
(37.542699, -78.45822)"
New Hampshire,Medical Assistance Program,T-Other Practitioners Services - Reg. Payments,,0,14532,0,0,0,-14532,2016,"New Hampshire
(43.657736, -71.500736)"
Idaho,Administration,HIT: Implementation and Operation: Cost of Private Contractors,,101690,91521,,,,10169,2016,"Idaho
(43.680635, -114.364237)"
South Dakota,Medical Assistance Program,C-Drug Rebate - National,,-1525748,-1359898,-1359898,0,0,-165850,2016,"South Dakota
(44.35371, -100.373709)"
New Jersey,Medical Assistance Program,T-Federally-Qualified Health Center,,0,0,0,0,0,0,2016,"New Jersey
(40.104655, -74.386686)"
Pennsylvania,Medical Assistance Program,C-Premiums: Over 150% - Cost Sharing Offset,,0,0,0,0,0,0,2016,"Pennsylvania
(40.789676, -77.858055)"
New York,Medical Assistance Program,T-Outpatient Hospital Services - Reg. Payments,,0,0,0,0,0,0,2016,"New York
(42.826892, -75.544286)"
Florida,Administration,Recovery Audit Contractors State Administration,,0,0,,,,0,2016,"Florida
(28.915325, -81.922409)"
Montana,Administration,Approved MMIS: Inhouse,,3634353,2725739,,,,908614,2016,"Montana
(47.062617, -109.430168)"
Arkansas,Medical Assistance Program,T-Prescribed Drugs,,0,0,0,0,0,0,2016,"Arkansas
(34.748745, -92.275105)"
California,Medical Assistance Program,"T-Medicaid MCO - Preventive Services Grade A OR B, ACIP Vaccines and their Admin",,0,0,0,0,0,0,2016,"California
(37.640735, -121.002435)"
North Carolina,Medical Assistance Program,C-Home And Community,,59965,59587,59587,0,0,378,2016,"North Carolina
(35.47995, -79.180571)"
Northern Mariana Islands,Medical Assistance Program,T-Inpatient Hospital - Sup. Payments,,0,0,0,0,0,0,2016,"Northern Mariana Islands
(15.1834, 145.725693)"
New Jersey,Medical Assistance Program,C-Home And Community,,974,857,857,0,0,117,2016,"New Jersey
(40.104655, -74.386686)"
Maine,Administration,MMIS - Private Sector,,9413968,8472571,,,,941397,2016,"Maine
(45.252223, -68.986647)"
New Jersey,Medical Assistance Program,Private Duty Nursing,,1001720,501470,501470,0,0,500250,2016,"New Jersey
(40.104655, -74.386686)"
West Virginia,Medical Assistance Program,C-Physician/Surgical,,175928,177996,177996,0,0,-2068,2016,"West Virginia
(38.668501, -80.709421)"
New Mexico,Medical Assistance Program,T-MCO PIHP - Evaluation and Management,,0,0,0,0,0,0,2016,"New Mexico
(34.520396, -106.244402)"
American Samoa,Medical Assistance Program,C-Hospice,,0,0,0,0,0,0,2016,American Samoa
Louisiana,Medical Assistance Program,MCO PAHP - Community First Choice,,0,0,0,0,0,0,2016,"Louisiana
(31.2931, -92.463284)"
Texas,Administration,Eligibility Determination Staff – Cost of In-house Activities – 50% FFP,,25263378,12631690,,,,12631688,2016,"Texas
(31.827233, -99.423022)"
Florida,Medical Assistance Program,"T-Medicaid MCO - Preventive Services Grade A OR B, ACIP Vaccines and their Admin",,0,0,0,0,0,0,2016,"Florida
(28.915325, -81.922409)"
Puerto Rico,Administration,MMIS - Inhouse Activities,,0,0,,,,0,2016,"Puerto Rico
(18.215692, -66.414655)"
Virginia,Administration,HIT: Planning: Cost of In-house Activities,,0,0,,,,0,2016,"Virginia
(37.542699, -78.45822)"
Utah,Medical Assistance Program,Physical Therapy,,200772,141220,141220,0,0,59552,2016,"Utah
(39.359772, -111.584173)"
Virgin Islands,Medical Assistance Program,C-Medical Equipment,,100272,91749,91749,0,0,8523,2016,"Virgin Islands
(18.060868, -64.840836)"
Mississippi,Administration,MMIS - Private Sector,,27048254,20363140,,,,6685114,2016,"Mississippi
(32.738663, -89.537312)"
West Virginia,Medical Assistance Program,T-Home & Community Based Services State Plan 1915(k) Community First Choice,,0,0,0,0,0,0,2016,"West Virginia
(38.668501, -80.709421)"
Guam,Medical Assistance Program,Balance,,66863899,44136388,44136388,0,0,22727511,2016,"Guam
(13.3532, 144.653198)"
South Dakota,Medical Assistance Program,C-Premiums: Over 150% - Cost Sharing Offset,,0,0,0,0,0,0,2016,"South Dakota
(44.35371, -100.373709)"
Virginia,Medical Assistance Program,C-Hospice,,0,0,0,0,0,0,2016,"Virginia
(37.542699, -78.45822)"
American Samoa,Medical Assistance Program,T-Medicaid - Coinsurance,,0,0,0,0,0,0,2016,American Samoa
South Carolina,Medical Assistance Program,Clinic Services,,149207236,107084259,107084259,0,0,42122977,2016,"South Carolina
(34.009286, -81.037094)"
New Hampshire,Medical Assistance Program,Balance,,1975716666,1189704886,1189706300,0,-1414,786011780,2016,"New Hampshire
(43.657736, -71.500736)"
California,Medical Assistance Program,Balance,,83669897086,53370700117,53376291971,-5591854,0,30299196969,2016,"California
(37.640735, -121.002435)"
Arkansas,Medical Assistance Program,Medicare - Part B,,154296328,108007430,108007430,0,0,46288898,2016,"Arkansas
(34.748745, -92.275105)"
Illinois,Medical Assistance Program,C-Outpatient Hospital Services,,6364433,5595162,5595162,0,0,769271,2016,"Illinois
(40.477092, -88.993221)"
Texas,Administration,Recovery Audit Contractors State Administration,,0,0,,,,0,2016,"Texas
(31.827233, -99.423022)"
Oregon,Administration,Mechanized Systems - Not Approved under MMIS Procedures: Interagency,,0,0,,,,0,2016,"Oregon
(44.567912, -120.156945)"
Utah,Medical Assistance Program,T-Rehabilitative Services (non-school-based),,0,0,0,0,0,0,2016,"Utah
(39.359772, -111.584173)"
Washington,Medical Assistance Program,T-Occupational Therapy,,0,0,0,0,0,0,2016,"Washington
(47.517368, -120.467672)"
Missouri,Medical Assistance Program,Medicaid MCO - Vaccine codes,,2171,2171,2171,0,0,0,2016,"Missouri
(38.636168, -92.566292)"
Missouri,Medical Assistance Program,C-Drug Rebate - State,,-1029800,-1001997,-1001997,0,0,-27803,2016,"Missouri
(38.636168, -92.566292)"
South Carolina,Medical Assistance Program,C-Premiums: Up To 150% - Cost Sharing Offset,,0,0,0,0,0,0,2016,"South Carolina
(34.009286, -81.037094)"
District of Columbia,Medical Assistance Program,Physician & Surgical Services - Reg. Payments,,45607539,32941951,32941951,0,0,12665588,2016,"District of Columbia
(38.892062, -77.019912)"
Vermont,Medical Assistance Program,C-Hospice,,0,0,0,0,0,0,2016,"Vermont
(43.622479, -72.51927)"
Vermont,Administration,Design Development/Installation of Medicaid Elig. Determ. Sys. – Cost of Private Sec. Contractors,,46139754,41525779,,,,4613975,2016,"Vermont
(43.622479, -72.51927)"
Wyoming,Medical Assistance Program,Home & Community-Based Services - Reg. Pay. (Waiv),,117866283,58933185,58933185,0,0,58933098,2016,"Wyoming
(43.23558, -108.110518)"
North Carolina,Medical Assistance Program,T-Increased ACA OFFSET - MCO,,0,0,0,0,0,0,2016,"North Carolina
(35.47995, -79.180571)"
Idaho,Medical Assistance Program,T-Medicaid MCO - Vaccine codes,,0,0,0,0,0,0,2016,"Idaho
(43.680635, -114.364237)"
Connecticut,Medical Assistance Program,T-Medicaid MCO - Vaccine codes,,0,0,0,0,0,0,2016,"Connecticut
(41.544654, -72.651713)"
Kentucky,Medical Assistance Program,T-Federally-Qualified Health Center,,0,0,0,0,0,0,2016,"Kentucky
(37.64591, -84.774043)"
American Samoa,Administration,TPL - Recovery,,0,0,,,,0,2016,American Samoa
American Samoa,Medical Assistance Program,C-Clinic Services,,0,0,0,0,0,0,2016,American Samoa
Arkansas,Administration,Outstationed Eligibility,,886451,443227,,,,443224,2016,"Arkansas
(34.748745, -92.275105)"
Iowa,Medical Assistance Program,Freestanding Birth Center,,0,0,0,0,0,0,2016,"Iowa
(42.46942, -93.815856)"
Delaware,Medical Assistance Program,T-Home Health Services,,0,0,0,0,0,0,2016,"Delaware
(39.008676, -75.574561)"
New Hampshire,Medical Assistance Program,T-Emergency,,0,0,0,0,0,0,2016,"New Hampshire
(43.657736, -71.500736)"
Rhode Island,Medical Assistance Program,T-Emergency,,0,0,0,0,0,0,2016,"Rhode Island
(41.707447, -71.522488)"
Mississippi,Medical Assistance Program,Medicaid - Other,,0,0,0,0,0,0,2016,"Mississippi
(32.738663, -89.537312)"
Northern Mariana Islands,Medical Assistance Program,Medicaid MCO - Community First Choice,,0,0,0,0,0,0,2016,"Northern Mariana Islands
(15.1834, 145.725693)"
Nevada,Medical Assistance Program,Occupational Therapy,,6622499,4246706,4246706,0,0,2375793,2016,"Nevada
(39.491833, -117.070159)"
Georgia,Medical Assistance Program,C-Inpatient Hospital Services - Reg. Payments,,535147,539389,539389,0,0,-4242,2016,"Georgia
(32.836038, -83.631709)"
Hawaii,Medical Assistance Program,Collections,,-49582664,-26735878,-26648747,-87131,0,-22846786,2016,"Hawaii
(21.30992, -157.858158)"
American Samoa,Medical Assistance Program,C-Medical Transport,,0,0,0,0,0,0,2016,American Samoa
Minnesota,Administration,Translation and Interpretation,,0,0,,,,0,2016,"Minnesota
(46.357661, -94.793397)"
Maine,Medical Assistance Program,Private Duty Nursing,,21041895,13183581,13189474,3,-5896,7858314,2016,"Maine
(45.252223, -68.986647)"
District of Columbia,Medical Assistance Program,T-120% - 134% Of Poverty,,0,0,0,0,0,0,2016,"District of Columbia
(38.892062, -77.019912)"
Wyoming,Medical Assistance Program,Nurse Practitioner Services,,3502766,1830358,1830358,0,0,1672408,2016,"Wyoming
(43.23558, -108.110518)"
Tennessee,Administration,Other Financial Participation,,110125494,55063197,,,,55062297,2016,"Tennessee
(35.681402, -85.774444)"
Virgin Islands,Administration,TANF Secondary 90%,,0,0,,,,0,2016,"Virgin Islands
(18.060868, -64.840836)"
Louisiana,Medical Assistance Program,T-Personal Care Services - Reg. Payments,,0,0,0,0,0,0,2016,"Louisiana
(31.2931, -92.463284)"
Maine,Administration,External Review,,0,0,,,,0,2016,"Maine
(45.252223, -68.986647)"
Colorado,Medical Assistance Program,Home Health Services,,533553989,289931175,289931175,0,0,243622814,2016,"Colorado
(38.841772, -106.132562)"
Maine,Medical Assistance Program,Occupational Therapy,,3815158,2391116,2391116,0,0,1424042,2016,"Maine
(45.252223, -68.986647)"
Wisconsin,Medical Assistance Program,Prepaid Inpatient Health Plan,,1561731654,909384458,909385683,-1225,0,652347196,2016,"Wisconsin
(44.395526, -89.834513)"
Minnesota,Medical Assistance Program,C-Inpatient Hospital Services - Reg. Payments,,14683,12921,12921,0,0,1762,2016,"Minnesota
(46.357661, -94.793397)"
Virginia,Medical Assistance Program,T-Emergency,,0,0,0,0,0,0,2016,"Virginia
(37.542699, -78.45822)"
Guam,Medical Assistance Program,Coinsurance,,0,0,0,0,0,0,2016,"Guam
(13.3532, 144.653198)"
Florida,Medical Assistance Program,C-Vision Sevices,,43592,41617,41617,0,0,1975,2016,"Florida
(28.915325, -81.922409)"
Connecticut,Medical Assistance Program,Occupational Therapy,,0,0,0,0,0,0,2016,"Connecticut
(41.544654, -72.651713)"
Kentucky,Administration,HIT: Planning: Cost of Private Contractors,,0,0,,,,0,2016,"Kentucky
(37.64591, -84.774043)"
Mississippi,Medical Assistance Program,"T-Services for Speech, Hearing & Language",,0,0,0,0,0,0,2016,"Mississippi
(32.738663, -89.537312)"
Kentucky,Administration,Eligibility Determination Staff – Cost of Private Sector Contractors,,2839691,2129769,,,,709922,2016,"Kentucky
(37.64591, -84.774043)"
Maryland,Medical Assistance Program,C-Home And Community,,434930,382739,382739,0,0,52191,2016,"Maryland
(39.290443, -76.612333)"
Louisiana,Medical Assistance Program,Inpatient Hospital - DSH,,1193421292,741283648,741283648,0,0,452137644,2016,"Louisiana
(31.2931, -92.463284)"
Mississippi,Medical Assistance Program,T-Physician & Surgical Services - Evaluation and Management,,0,0,0,0,0,0,2016,"Mississippi
(32.738663, -89.537312)"
Alabama,Medical Assistance Program,C-Home And Community,,0,0,0,0,0,0,2016,"Alabama
(32.839182, -86.631125)"
New York,Medical Assistance Program,Drug Rebate Offset - State Sidebar Agreement,,-17814945,-9850527,-9850527,0,0,-7964418,2016,"New York
(42.826892, -75.544286)"
Missouri,Medical Assistance Program,Other Practitioners Services - Reg. Payments,,12434006,7870336,7870336,0,0,4563670,2016,"Missouri
(38.636168, -92.566292)"
Oklahoma,Medical Assistance Program,C-Premiums: Up To 150% - Cost Sharing Offset,,0,0,0,0,0,0,2016,"Oklahoma
(35.468494, -97.521264)"
Wyoming,Medical Assistance Program,C-Prescribed Drugs,,393799,346544,346544,0,0,47255,2016,"Wyoming
(43.23558, -108.110518)"
Delaware,Medical Assistance Program,T-Case Management - State Wide,,0,0,0,0,0,0,2016,"Delaware
(39.008676, -75.574561)"
Idaho,Medical Assistance Program,T-Nurse Mid-Wife,,0,0,0,0,0,0,2016,"Idaho
(43.680635, -114.364237)"
Mississippi,Medical Assistance Program,Mental Health Facility Services - Reg. Payments,,58005320,43022547,43022547,0,0,14982773,2016,"Mississippi
(32.738663, -89.537312)"
American Samoa,Administration,MMIS - Private Sector,,0,0,,,,0,2016,American Samoa
West Virginia,Medical Assistance Program,C-Screening Services,,15798,15798,15798,0,0,0,2016,"West Virginia
(38.668501, -80.709421)"
Puerto Rico,Medical Assistance Program,C-Home And Community,,0,0,0,0,0,0,2016,"Puerto Rico
(18.215692, -66.414655)"
Alaska,Medical Assistance Program,T-Primary Care Case Management,,0,0,0,0,0,0,2016,"Alaska
(64.836661, -147.738891)"
Wisconsin,Medical Assistance Program,C-Clinic Services,,855772,806969,806969,0,0,48803,2016,"Wisconsin
(44.395526, -89.834513)"
Alaska,Medical Assistance Program,C-Premiums: Up To 150% - Cost Sharing Offset,,0,0,0,0,0,0,2016,"Alaska
(64.836661, -147.738891)"
North Carolina,Administration,Citizenship Verification Technology CHIPRA,,0,0,,,,0,2016,"North Carolina
(35.47995, -79.180571)"
New Jersey,Medical Assistance Program,Nurse Practitioner Services,,2055609,1463843,1463843,0,0,591766,2016,"New Jersey
(40.104655, -74.386686)"
District of Columbia,Medical Assistance Program,Sterilizations,,1168,825,825,0,0,343,2016,"District of Columbia
(38.892062, -77.019912)"
New Hampshire,Medical Assistance Program,T-Home & Community-Based Services - St. Plan 1915(j) Only Pay.,,0,0,0,0,0,0,2016,"New Hampshire
(43.657736, -71.500736)"
Northern Mariana Islands,Administration,Recovery Audit Contractors State Administration,,0,0,,,,0,2016,"Northern Mariana Islands
(15.1834, 145.725693)"
North Dakota,Medical Assistance Program,T-Nursing Facility Services - Reg. Payments,,0,0,0,0,0,0,2016,"North Dakota
(47.475879, -100.121011)"
Idaho,Medical Assistance Program,T-Case Management - State Wide,,0,0,0,0,0,0,2016,"Idaho
(43.680635, -114.364237)"
Arkansas,Medical Assistance Program,Rural Health,,13294054,9766862,9766862,0,0,3527192,2016,"Arkansas
(34.748745, -92.275105)"
Connecticut,Medical Assistance Program,C-Physician/Surgical,,0,0,0,0,0,0,2016,"Connecticut
(41.544654, -72.651713)"
New York,Medical Assistance Program,Total Net Expenditures,,60995857591,33459554615,33477419124,-17534220,-330289,27536302976,2016,"New York
(42.826892, -75.544286)"
Virginia,Medical Assistance Program,C-Inpatient Hospital Services - DSH,,0,0,0,0,0,0,2016,"Virginia
(37.542699, -78.45822)"
Alabama,Medical Assistance Program,Nurse Mid-Wife,,30283,21202,21202,0,0,9081,2016,"Alabama
(32.839182, -86.631125)"
Alabama,Medical Assistance Program,T-Laboratory/Radiological,,0,0,0,0,0,0,2016,"Alabama
(32.839182, -86.631125)"
Nevada,Medical Assistance Program,Other Care Services,,39414610,27979329,27979329,0,0,11435281,2016,"Nevada
(39.491833, -117.070159)"
North Dakota,Medical Assistance Program,T-Medicaid MCO - Vaccine codes,,0,0,0,0,0,0,2016,"North Dakota
(47.475879, -100.121011)"
Maryland,Administration,Peer Review Organizations,,408588,306441,,,,102147,2016,"Maryland
(39.290443, -76.612333)"
Mississippi,Medical Assistance Program,Physician & Surgical Services - Evaluation and Management,,0,0,0,0,0,0,2016,"Mississippi
(32.738663, -89.537312)"
Georgia,Medical Assistance Program,T-Prescribed Drugs,,0,0,0,0,0,0,2016,"Georgia
(32.836038, -83.631709)"
American Samoa,Medical Assistance Program,T-Personal Care Services - SDS 1915(j),,0,0,0,0,0,0,2016,American Samoa
South Carolina,Medical Assistance Program,T-Physician & Surgical Services - Evaluation and Management,,0,0,0,0,0,0,2016,"South Carolina
(34.009286, -81.037094)"
South Carolina,Medical Assistance Program,C-Vision Sevices,,0,0,0,0,0,0,2016,"South Carolina
(34.009286, -81.037094)"
Maine,Medical Assistance Program,C-Screening Services,,0,0,0,0,0,0,2016,"Maine
(45.252223, -68.986647)"
Northern Mariana Islands,Administration,Operation of an Approved Medicaid Eligibility Determination Systems – Cost of In-house Activities,,0,0,,,,0,2016,"Northern Mariana Islands
(15.1834, 145.725693)"
American Samoa,Medical Assistance Program,C-Screening Services,,0,0,0,0,0,0,2016,American Samoa
Delaware,Administration,Interagency Costs (State Level),,0,0,,,,0,2016,"Delaware
(39.008676, -75.574561)"
District of Columbia,Medical Assistance Program,MCO PIHP - Vaccine codes,,0,0,0,0,0,0,2016,"District of Columbia
(38.892062, -77.019912)"
Ohio,Medical Assistance Program,T-Diagnostic Screening & Preventive Services,,0,0,0,0,0,0,2016,"Ohio
(40.056807, -82.405897)"
Illinois,Administration,Immigration Status,,0,0,,,,0,2016,"Illinois
(40.477092, -88.993221)"
Missouri,Medical Assistance Program,C-Therapy Services,,20665,18829,18829,0,0,1836,2016,"Missouri
(38.636168, -92.566292)"
Virgin Islands,Medical Assistance Program,C-Screening Services,,332368,304117,304117,0,0,28251,2016,"Virgin Islands
(18.060868, -64.840836)"
California,Medical Assistance Program,T-Increased ACA OFFSET - Fee for Service,,0,0,0,0,0,0,2016,"California
(37.640735, -121.002435)"
Kansas,Medical Assistance Program,T-Dental Services,,0,0,0,0,0,0,2016,"Kansas
(38.345528, -98.201847)"
Kentucky,Medical Assistance Program,T-Other Practitioners Services - Sup. Payments,,0,0,0,0,0,0,2016,"Kentucky
(37.64591, -84.774043)"
Arizona,Medical Assistance Program,T-Physician & Surgical Services - Vaccine codes,,0,0,0,0,0,0,2016,"Arizona
(34.869712, -111.760902)"
Washington,Medical Assistance Program,All-Inclusive Care Elderly,,15518559,7856496,7856496,0,0,7662063,2016,"Washington
(47.517368, -120.467672)"
District of Columbia,Medical Assistance Program,T-Emergency Hospital Services,,0,0,0,0,0,0,2016,"District of Columbia
(38.892062, -77.019912)"
Oregon,Medical Assistance Program,T-Physical Therapy,,0,0,0,0,0,0,2016,"Oregon
(44.567912, -120.156945)"
Washington,Medical Assistance Program,C-Home Health,,0,0,0,0,0,0,2016,"Washington
(47.517368, -120.467672)"
Vermont,Medical Assistance Program,Home Health Services,,1785033,971685,971685,0,0,813348,2016,"Vermont
(43.622479, -72.51927)"
New Mexico,Medical Assistance Program,Inpatient Hospital - GME Payments,,55686014,39052203,39052203,0,0,16633811,2016,"New Mexico
(34.520396, -106.244402)"
Ohio,Medical Assistance Program,T-Personal Care Services - SDS 1915(j),,0,0,0,0,0,0,2016,"Ohio
(40.056807, -82.405897)"
Georgia,Medical Assistance Program,Prepaid Inpatient Health Plan,,0,0,0,0,0,0,2016,"Georgia
(32.836038, -83.631709)"
Hawaii,Medical Assistance Program,C-Home and Community-Based Services - Regular Payment (WAIVER),,0,0,0,0,0,0,2016,"Hawaii
(21.30992, -157.858158)"
Louisiana,Administration,Design Development/Installation of Medicaid Elig. Determ. Sys. – Cost of In-house Activities,,3280365,2952328,,,,328037,2016,"Louisiana
(31.2931, -92.463284)"
Arizona,Medical Assistance Program,MCO PIHP - Vaccine codes,,0,0,0,0,0,0,2016,"Arizona
(34.869712, -111.760902)"
District of Columbia,Medical Assistance Program,C-Outpatient Hospital Services,,219337,219337,219337,0,0,0,2016,"District of Columbia
(38.892062, -77.019912)"
Missouri,Medical Assistance Program,T-MCO PAHP - Evaluation and Management,,0,0,0,0,0,0,2016,"Missouri
(38.636168, -92.566292)"
Utah,Medical Assistance Program,T-Physician & Surgical Services - Reg. Payments,,0,0,0,0,0,0,2016,"Utah
(39.359772, -111.584173)"
Wyoming,Medical Assistance Program,Total Newly Eligible,,0,0,0,0,0,0,2016,"Wyoming
(43.23558, -108.110518)"
Wyoming,Medical Assistance Program,T-Other Practitioners Services - Reg. Payments,,0,0,0,0,0,0,2016,"Wyoming
(43.23558, -108.110518)"
Arizona,Medical Assistance Program,T-Laboratory/Radiological,,0,0,0,0,0,0,2016,"Arizona
(34.869712, -111.760902)"
North Dakota,Medical Assistance Program,C-Increased ACA OFFSET - Fee for Service,,0,0,0,0,0,0,2016,"North Dakota
(47.475879, -100.121011)"
Pennsylvania,Administration,Drug Use Review,,0,0,,,,0,2016,"Pennsylvania
(40.789676, -77.858055)"
Alabama,Administration,Non-Emergency Medical Transportation,,6949322,3474661,,,,3474661,2016,"Alabama
(32.839182, -86.631125)"
Utah,Medical Assistance Program,Targeted Case Management Services - Com. Case-Man.,,6818,4787,4787,0,0,2031,2016,"Utah
(39.359772, -111.584173)"
Northern Mariana Islands,Medical Assistance Program,T-MCO PIHP - Evaluation and Management,,0,0,0,0,0,0,2016,"Northern Mariana Islands
(15.1834, 145.725693)"
Puerto Rico,Administration,Planning for Health Home for Enrollees with Chronic Conditions,,0,0,,,,0,2016,"Puerto Rico
(18.215692, -66.414655)"
Alabama,Medical Assistance Program,Prepaid Inpatient Health Plan,,0,0,0,0,0,0,2016,"Alabama
(32.839182, -86.631125)"
Louisiana,Medical Assistance Program,C-Other Practitioners,,0,0,0,0,0,0,2016,"Louisiana
(31.2931, -92.463284)"
North Carolina,Medical Assistance Program,T-Mental Health Facility - DSH,,0,0,0,0,0,0,2016,"North Carolina
(35.47995, -79.180571)"
Wisconsin,Medical Assistance Program,C-Collections,,-243548,-200791,-200791,0,0,-42757,2016,"Wisconsin
(44.395526, -89.834513)"
Michigan,Administration,HIT: Planning: Cost of Private Contractors,,0,0,,,,0,2016,"Michigan
(44.66399, -84.711206)"
Hawaii,Medical Assistance Program,64.21U Adjustments,,0,0,0,0,0,0,2016,"Hawaii
(21.30992, -157.858158)"
Nebraska,Medical Assistance Program,C-Other Practitioners,,16173,14363,14363,0,0,1810,2016,"Nebraska
(41.640503, -99.367122)"
Idaho,Medical Assistance Program,T-School Based Services,,0,0,0,0,0,0,2016,"Idaho
(43.680635, -114.364237)"
Utah,Medical Assistance Program,"MCO PIHP - Preventive Services Grade A OR B, ACIP Vaccines and their Admin",,0,0,0,0,0,0,2016,"Utah
(39.359772, -111.584173)"
Guam,Medical Assistance Program,C-Medical Transport,,0,0,0,0,0,0,2016,"Guam
(13.3532, 144.653198)"
Alabama,Administration,Health Insurance Technology Administration,,0,0,,,,0,2016,"Alabama
(32.839182, -86.631125)"
California,Medical Assistance Program,C-Dental Services,,34747531,32010785,32010785,0,0,2736746,2016,"California
(37.640735, -121.002435)"
Puerto Rico,Medical Assistance Program,Total VIII Group,,856534163,732387413,732387413,0,0,124146750,2016,"Puerto Rico
(18.215692, -66.414655)"
Nebraska,Medical Assistance Program,C-Increased ACA OFFSET - Fee for Service,,0,0,0,0,0,0,2016,"Nebraska
(41.640503, -99.367122)"
West Virginia,Medical Assistance Program,T-Home Health Services,,0,0,0,0,0,0,2016,"West Virginia
(38.668501, -80.709421)"
West Virginia,Administration,TANF Secondary 90%,,0,0,,,,0,2016,"West Virginia
(38.668501, -80.709421)"
Arizona,Medical Assistance Program,Nursing Facility Services - Reg. Payments,,41845562,29239538,29239538,0,0,12606024,2016,"Arizona
(34.869712, -111.760902)"
Iowa,Medical Assistance Program,Health Home w Chronic Conditions,,18680987,12297862,12386416,0,-88554,6383125,2016,"Iowa
(42.46942, -93.815856)"
Virginia,Medical Assistance Program,Case Management - State Wide,,0,0,0,0,0,0,2016,"Virginia
(37.542699, -78.45822)"
Louisiana,Medical Assistance Program,C-Screening Services,,4122348,3980127,3980127,0,0,142221,2016,"Louisiana
(31.2931, -92.463284)"
Michigan,Medical Assistance Program,Drug Rebate Offset - National,,-558410315,-418347677,-418347677,0,0,-140062638,2016,"Michigan
(44.66399, -84.711206)"
Utah,Administration,TPL - Recovery,,0,0,,,,0,2016,"Utah
(39.359772, -111.584173)"
California,Medical Assistance Program,T-MCO PAHP - Community First Choice,,0,0,0,0,0,0,2016,"California
(37.640735, -121.002435)"
Vermont,Medical Assistance Program,T-Nurse Mid-Wife,,0,0,0,0,0,0,2016,"Vermont
(43.622479, -72.51927)"
Vermont,Medical Assistance Program,T-Physical Therapy,,0,0,0,0,0,0,2016,"Vermont
(43.622479, -72.51927)"
Indiana,Medical Assistance Program,T-120% - 134% Of Poverty,,0,0,0,0,0,0,2016,"Indiana
(39.76845, -86.156212)"
North Dakota,Administration,Mechanized Systems - Not Approved under MMIS Procedures: Interagency,,0,0,,,,0,2016,"North Dakota
(47.475879, -100.121011)"
North Carolina,Medical Assistance Program,T-Inpatient Hospital - Sup. Payments,,0,0,0,0,0,0,2016,"North Carolina
(35.47995, -79.180571)"
Georgia,Medical Assistance Program,T-Home & Community-Based Services - St. Plan 1915(i) Only Pay.,,0,0,0,0,0,0,2016,"Georgia
(32.836038, -83.631709)"
Arizona,Medical Assistance Program,C-Case Management,,0,0,0,0,0,0,2016,"Arizona
(34.869712, -111.760902)"
Ohio,Medical Assistance Program,Nurse Practitioner Services,,0,0,0,0,0,0,2016,"Ohio
(40.056807, -82.405897)"
South Dakota,Medical Assistance Program,T-Medicaid - Other,,0,0,0,0,0,0,2016,"South Dakota
(44.35371, -100.373709)"
American Samoa,Medical Assistance Program,T-Other Care Services,,0,0,0,0,0,0,2016,American Samoa
Idaho,Administration,School Based Administration,,0,0,,,,0,2016,"Idaho
(43.680635, -114.364237)"
Oklahoma,Medical Assistance Program,C-Medicare Payments,,0,0,0,0,0,0,2016,"Oklahoma
(35.468494, -97.521264)"
Arizona,Administration,HIT Incentive Payments: Eligible Hospitals,,6124099,6124099,,,,0,2016,"Arizona
(34.869712, -111.760902)"
Alaska,Medical Assistance Program,T-Freestanding Birth Center,,0,0,0,0,0,0,2016,"Alaska
(64.836661, -147.738891)"
California,Medical Assistance Program,"Prosthetic Devices, Dentures, Eyeglasses",,22136937,11539889,11539889,0,0,10597048,2016,"California
(37.640735, -121.002435)"
Texas,Administration,HIT Incentive Payments: Eligible Hospitals,,7522656,7522656,,,,0,2016,"Texas
(31.827233, -99.423022)"
Northern Mariana Islands,Medical Assistance Program,T-Tobacco Cessation for Preg Women,,0,0,0,0,0,0,2016,"Northern Mariana Islands
(15.1834, 145.725693)"
South Carolina,Administration,Recovery Audit Contractors State Administration,,0,0,,,,0,2016,"South Carolina
(34.009286, -81.037094)"
Virginia,Medical Assistance Program,Laboratory/Radiological,,8577151,4602782,4602782,0,0,3974369,2016,"Virginia
(37.542699, -78.45822)"
Nevada,Medical Assistance Program,T-Outpatient Hospital Services - Reg. Payments,,0,0,0,0,0,0,2016,"Nevada
(39.491833, -117.070159)"
Mississippi,Medical Assistance Program,Prepaid Ambulatory Health Plan,,0,0,0,0,0,0,2016,"Mississippi
(32.738663, -89.537312)"
Montana,Medical Assistance Program,Intermediate Care Facility - Individuals with Intellectual Disabilities (ICF/IID): Supplemental Payments,,0,0,0,0,0,0,2016,"Montana
(47.062617, -109.430168)"
